Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,genres_list,genre_embedding
3PLlvksV9NfmoGiZXEqunJ,The Thief in Marrakesh,The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape,Arc De Soleil,2019-10-18,180373,66,12183928166,2025-03-10T16:08:01Z,,Epidemic Sound,0.76,0.522,2.0,-7.937,0.0,0.0374,0.338,0.854,0.142,0.68,89.974,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5MbgPUiDXvOZE5ZD8OCKXF,Idol Eyes,Cinema 3000,Common Saints,2024-11-01,289330,56,12183928166,2025-03-10T20:04:39Z,retro soul,Starsonics,0.495,0.679,2.0,-6.589,0.0,0.0299,0.147,0.0459,0.0923,0.683,173.908,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
5KXNgbRYbqwEFIFM0AMakg,Groceries,Homegrown,"CARRTOONS,Nigel Hall",2022-04-20,143606,60,12183928166,2025-03-10T20:05:08Z,retro soul,Wichita,0.781,0.768,8.0,-5.64,1.0,0.0376,0.0127,0.00434,0.159,0.469,121.987,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
6ncNLU982iaD9WFb2gTwKd,Darling,Bloomsday,Esbe,2015-12-11,189090,64,12183928166,2025-03-10T20:05:43Z,,Cold Busted,0.72,0.681,0.0,-8.962,1.0,0.0469,0.0938,0.0161,0.109,0.424,99.002,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1jSAARNT7fzLTcPc4IUQQz,If I Got It (Your Love Brought It),Introducing...,Aaron Frazer,2021-01-08,174179,70,12183928166,2025-03-10T20:05:51Z,retro soul,Dead Oceans,0.813,0.554,8.0,-6.512,0.0,0.0371,0.428,0.0106,0.054,0.888,94.707,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
7j3zZ2jAjzFD60UjhldhHo,I've Been In Love,Volcano,"Jungle,Channel Tres",2023-08-11,169472,71,12183928166,2025-03-10T20:06:01Z,hip house,Caiola Records,0.679,0.506,9.0,-9.497,0.0,0.0671,0.421,0.00216,0.434,0.588,114.967,4.0,['hip house'],"[-0.35786372423171997, 0.9405210018157959, -0.004154689610004425, 1.4619169235229492, 0.9186277389526367, -0.4070654511451721, -0.535201907157898, -1.8353888988494873, 0.0645846351981163, -1.1324785947799683, -1.2286585569381714, 1.2424137592315674, 0.38963812589645386, -0.681725263595581, 0.33203020691871643, -1.461627721786499]"
5yVGW2o9LXaiiS4I3HUM3k,May Ninth,A LA SALA,Khruangbin,2024-04-05,192144,67,12183928166,2025-03-10T20:06:27Z,,Dead Oceans,0.609,0.356,6.0,-11.163,0.0,0.0364,0.353,0.855,0.138,0.531,80.838,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
71p2ub5QJhJTzfvXbXaUXd,High No More,High No More,Hajaj,2021-09-24,198845,72,12183928166,2025-03-10T20:07:11Z,retro soul,BRIJ ENT,0.885,0.272,10.0,-11.362,0.0,0.0628,0.0117,0.158,0.114,0.806,112.026,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
0jaFQzTV7zKwuys2YGLpaC,People Everywhere (Still Alive),The Universe Smiles Upon You,Khruangbin,2015-11-06,159013,67,12183928166,2025-03-10T20:07:27Z,,Khruangbin,0.551,0.648,7.0,-13.088,1.0,0.0627,0.0432,0.652,0.41,0.808,109.209,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1PIjuuoB9kO9GvI5EPSpcW,Telephone (What's Your Name?),Same As It Ever Was,daste.,2020-04-15,172999,54,12183928166,2025-03-10T20:07:37Z,,Nettwerk Music Group,,,,,,,,,,,,,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7snltzeGB2v44Qb6Qvh9Um,Problemz,Volcano,Jungle,2023-08-11,184086,64,12183928166,2025-03-10T20:07:45Z,,Caiola Records,0.66,0.718,4.0,-4.555,0.0,0.0344,0.0836,0.00485,0.571,0.419,110.013,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6loDuwmsq6fazVxqqRhmcp,nyc in 1940,nyc in 1940,"berlioz,Ted Jasper",2022-06-03,156611,67,12183928166,2025-03-10T20:08:39Z,jazz,berlioz,0.839,0.482,9.0,-13.931,0.0,0.121,0.337,0.89,0.0859,0.585,116.998,4.0,['jazz'],"[-0.20484381914138794, -0.10282932221889496, 1.0070881843566895, 0.19024422764778137, 1.9310694932937622, 0.8996553421020508, 0.4049822688102722, -2.2301900386810303, -1.2474733591079712, 2.2420668601989746, -1.554249882698059, 0.1910649985074997, -0.1621953547000885, -0.3898404538631439, -0.6854694485664368, 0.5613479018211365]"
3z0JwddAR5GASTxnKExIw1,joycelyn's dance,open this wall,berlioz,2024-07-12,198500,64,12183928166,2025-03-10T20:09:01Z,jazz,berlioz,0.753,0.503,2.0,-13.571,0.0,0.0488,0.721,0.901,0.124,0.381,113.995,4.0,['jazz'],"[-0.20484381914138794, -0.10282932221889496, 1.0070881843566895, 0.19024422764778137, 1.9310694932937622, 0.8996553421020508, 0.4049822688102722, -2.2301900386810303, -1.2474733591079712, 2.2420668601989746, -1.554249882698059, 0.1910649985074997, -0.1621953547000885, -0.3898404538631439, -0.6854694485664368, 0.5613479018211365]"
7IwPrc0AZV9uMSPitvJMxx,Shameful Game,The Celestial Suite,Pale Jay,2021-10-22,185000,68,12183928166,2025-03-10T20:09:16Z,retro soul,PLYGRND,0.656,0.567,0.0,-7.23,0.0,0.0285,0.194,0.844,0.148,0.653,143.867,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
3GdogCZTpPHBODiiEJbqQm,Teardrops,Teardrops,NEIL FRANCES,2018-02-14,198331,72,12183928166,2025-03-10T20:09:33Z,,Nettwerk Music Group,0.87,0.72,11.0,-7.679,1.0,0.0413,0.17,0.0908,0.0686,0.832,92.006,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
024nqC9O76nvAuIWtQGdQy,Memory Box,Bismillah,Peter Cat Recording Co.,2019-06-07,483840,57,12183928166,2025-03-10T20:09:53Z,indian indie,Panache,0.609,0.415,7.0,-11.986,1.0,0.0435,0.227,0.0672,0.136,0.442,127.972,4.0,['indian indie'],"[0.5796762704849243, 0.24079324305057526, -0.22336386144161224, 1.3456059694290161, -0.32827943563461304, 0.981390655040741, 0.22526496648788452, -0.8495953679084778, 1.3521205186843872, 1.8165746927261353, -2.223937511444092, 1.081013798713684, -0.5933001041412354, -0.16254952549934387, -0.4980695843696594, -0.11425267904996872]"
7nVLwt95qTvBUZmYRyggRr,Madison,Hiding in Plain Sight,Drugdealer,2022-10-28,222573,49,12183928166,2025-03-10T20:10:37Z,psychedelic pop,Mexican Summer,0.833,0.444,6.0,-8.802,1.0,0.03,0.193,0.0345,0.132,0.775,110.464,4.0,['psychedelic pop'],"[-0.2772945761680603, 0.9748565554618835, -0.2706246078014374, 1.4390232563018799, -0.8673323392868042, 0.24672017991542816, -1.272478461265564, -0.7464970350265503, 1.2500367164611816, 0.13946358859539032, -1.8631081581115723, 1.0940498113632202, 0.9652422070503235, -0.7261701822280884, 0.12354815006256104, -0.3582124710083008]"
1XWR8cJX3H9Ioplt207ZA0,Kind Reminder,Kind Reminder,Próxima Parada,2019-09-27,239340,39,12183928166,2025-03-10T20:11:10Z,,Próxima Parada,0.643,0.532,3.0,-12.025,1.0,0.0352,0.66,0.0,0.148,0.402,134.947,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2Hg5UADRWovTS7LslhUgYH,Dusty Seats,Kind Reminder,Próxima Parada,2019-09-27,314130,36,12183928166,2025-03-10T20:11:29Z,,Próxima Parada,0.66,0.369,7.0,-9.437,1.0,0.0629,0.54,0.0,0.0933,0.526,83.713,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
