Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,Release Year,fit_score,is_playlist_song,cluster,has_metadata_match,cluster_A,cluster_D,cluster_E,cluster_B,cluster_C,cosine_score_normalized,cosine_score_normalized_2,cosine_score_normalized_3,cosine_score_normalized_4,cosine_score_normalized_5,cosine_score_normalized_6,cosine_score_normalized_7,fitness_score_normalized,fitness_score_normalized_2,glm_score_normalized,cluster_score
36XLmStMavCHsJzfzyWYRt,Nanna's Fate,Nanna's Fate,Brothers of Metal,2024,0.558899426324762,-0.8021847127756602,"power metal,folk metal,melodic metal,pirate metal,metal,medieval metal,symphonic metal",AFM Records,0.522,0.863,-4.24,0.036,0.00874,1.13e-05,0.111,0.211,122.944,0.06660785675048828,-0.09065210223197936,0.14433208107948303,1.4862600445747376,0.938977837562561,0.1111078079789877,-1.3749399542808534,-0.6398536741733551,0.5516559302806854,1.0656454056501388,-0.7482928574085236,1.1069556698203087,-1.2031646192073822,-0.6746755838394165,0.6544276356697083,0.6793702244758606,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
6zKF4293k44ItKWJJgrhXv,My Curse,As Daylight Dies (Special Edition),Killswitch Engage,2007,-0.011118643764738406,1.5499253473597991,"metalcore,metal",Roadrunner Records,0.197,0.956,-2.908,0.0663,7.61e-05,0.00992,0.261,0.209,177.018,1.1111176013946533,-0.6877364069223404,0.5598788931965828,2.1030496954917908,0.7265281677246094,-0.005322068929672241,-0.740220695734024,-0.6001464873552322,0.6838054955005646,-0.32408905774354935,-0.9279909431934357,0.2631432833150029,-0.1918582022190094,-1.1649185717105865,1.0335253477096558,0.037984251976013184,2007,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
6n976ZUAIzsbxpKTK8KZLA,Blood Dynasty,Blood Dynasty,Arch Enemy,2024,-0.19860407111243603,0.2149439618775114,"melodic death metal,metal,death metal,melodic metal,heavy metal",Century Media,0.32,0.974,-4.077,0.0908,1.15e-05,0.613,0.113,0.114,124.949,0.2447729729115963,-0.24634991772472858,0.1226681761443615,1.7536921620368957,0.7846898554824293,-0.10910590519197286,-0.9787869244813919,-0.7461565156467259,0.27930388056556693,0.7522897705435753,-0.9793486939743161,0.5661336759105324,-1.1180613540112971,-0.7052433211356401,0.3440723503008485,0.5875774595886469,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
1AuwWGznBvI76jOF8cZ4E4,Dogs Of War,Dogs Of War,Mötley Crüe,2024,-0.015354900936722152,0.024232335380041745,"glam metal,hard rock,glam rock",Big Machine Records,0.489,0.95,-2.452,0.0547,0.000161,0.613,0.317,0.34,95.997,0.11245175078511238,0.32394522428512573,0.1481154759724935,1.5115312337875366,0.539500504732132,0.9184376945098242,-1.05037122964859,-0.4677121837933858,0.42230428258577984,0.6006548454364141,-1.1857668161392212,0.47899874051411945,-0.027020258208115894,-1.3382357358932495,-0.4243555963039398,-0.01863638513411085,2024,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
1S8XK27huK2lRo6Isgve6h,Unforgivable,Unforgivable,Dark Tranquillity,2024,-0.29555502515268944,-1.2471785079364228,"melodic death metal,death metal,melodic metal,metal",Century Media,0.459,0.99,-5.259,0.155,7.57e-05,0.000417,0.261,0.0623,119.985,0.18938802927732468,-0.2558595910668373,0.15676578879356384,1.7532708495855331,0.7063696309924126,-0.15694781206548214,-0.9658761620521545,-0.802922360599041,0.30259760096669197,0.6297315619885921,-1.0576429180800915,0.5242932643741369,-1.3705309629440308,-0.6129901707172394,0.3166804015636444,0.6561228632926941,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
1hihjb5dQTw4otuRxQy5cj,Spirit Of No Return,Spirit Of No Return,Soilwork,2024,0.6685177552310775,-0.23004983328325115,"melodic death metal,melodic metal,metal,death metal,alternative metal",Nuclear Blast,0.495,0.982,-2.952,0.146,0.00023,1.29e-05,0.232,0.175,120.023,0.3146532475948334,-0.42096436619758604,0.2876464486122131,1.6839741826057435,0.7015618622303009,-0.18801921457052231,-0.9614407181739807,-0.8598929822444916,0.20224000215530397,0.6919903486967087,-0.9542667955160141,0.29257717579603193,-0.9504648804664612,-0.6537464499473572,0.6188039064407349,0.8602933883666992,2024,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
3qHlBxD3acw5nrl7Padt0v,Davidian,Burn My Eyes,Machine Head,1994,0.7043948518016239,0.659937757038274,"groove metal,metal,nu metal,thrash metal,hard rock,heavy metal",Roadrunner Records,0.278,0.937,-6.952,0.168,0.000535,0.118,0.227,0.29,154.244,0.24834999069571495,0.45360067828247946,0.34074917528778315,1.5720353921254475,0.5000141485749433,0.21966610286229601,-1.1830979908506076,-0.5513145480460176,0.6414042386604706,0.6480738632380962,-1.0497832560601335,1.2823529685847461,-0.3031191745152076,-1.0187362895036738,0.34876239004855353,0.2735966571296255,1994,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
4Y7eqYTpV7fQxpYj1isN2F,Black Hole,Black Hole,"We Came As Romans,Caleb Shomo",2021,-0.9162149969398456,0.34208504620915786,"metalcore,post-hardcore,screamo,metal",SHARPTONE,0.48,0.958,-4.241,0.0664,2.45e-05,0.0,0.52,0.385,110.05,0.4348882660269737,-0.5626329779624939,0.36634828336536884,1.912072241306305,0.25888971239328384,-0.12174096051603556,-0.8295229524374008,-0.7398968562483788,0.1436620131134987,0.5392518900334835,-1.1582979410886765,-0.05203678598627448,-0.1324050948023796,-0.9479015991091728,1.2383688688278198,0.6977748274803162,2021,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
5qZNn0eOGIMATKu6iDpXHg,Green Serpent,Green Serpent,Jinjer,2024,-0.057482891640521436,-0.03933820678578148,"metal,djent,groove metal,progressive metal,metalcore",Napalm Records Handels GmbH,0.485,0.969,-3.85,0.0844,8.11e-05,0.0111,0.193,0.267,144.905,0.7020513713359833,-0.19038753509521483,0.589857092499733,1.808129906654358,0.9134517431259155,0.1335980369884055,-0.7658622667193413,-0.6282640159130096,0.544404898583889,0.4539500683546066,-0.6842865645885468,0.5793760646134615,-0.4343887746334076,-1.4263116002082825,0.2906217768788338,0.04333646297454834,2024,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
0mrHi6us5MaQNM34bHI5F7,Dopamine (feat. Simone Simons),Dopamine,"Charlotte Wessels,Simone Simons",2024,-0.40279994613203046,-1.2471785079364228,"symphonic metal,hardstyle,melodic metal,symphonic rock",Napalm Records Handels GmbH,0.486,0.959,-5.61,0.0647,0.000105,0.0253,0.379,0.661,135.011,-0.1863122247159481,-0.8210998177528381,-0.23843974620103836,1.672710344195366,0.9738724008202553,0.24676628410816193,-0.31946708261966705,-1.1039244830608368,0.19254158064723015,0.46100323647260666,-1.2083691619336605,0.3428729008883238,-0.5434053540229797,-0.6295463293790817,0.11983528733253479,0.07450751960277557,2024,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
7cMIJjvNrSxkLBoo7SnAvw,Conflict,Conflict,Slaughter to Prevail,2024,-1.4016735101892275,0.5327966727066276,"deathcore,metal,death metal,metalcore",Sumerian Records,0.439,0.976,-3.114,0.124,2.72e-05,0.000139,0.256,0.254,119.882,0.794086828827858,-0.3414154201745987,0.31919605657458305,1.9297760725021362,0.29899562895298004,-0.2671080268919468,-0.6503764539957047,-1.045531488955021,-0.03901533782482147,0.22315820679068565,-0.9484525918960571,-0.09265376767143607,-0.3714228058233857,-1.15112666785717,0.6258103996515274,0.5450388342142105,2024,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
60fUDmIWuKhngaeBIVhqIV,Stranded,Magma,Gojira,2016,0.3305417066532341,1.2956431786965061,"metal,progressive metal,groove metal,death metal,djent",Roadrunner Records,0.513,0.88,-4.69,0.0309,9.59e-05,0.00614,0.0824,0.495,92.358,0.6234215438365937,0.0526128351688385,0.5800594210624694,1.7781276941299438,0.6847465455532074,0.0363874807197135,-0.652278833091259,-0.6715743362903595,0.39427432864904405,0.47892853915691375,-0.8472321331501007,0.6510705947875977,-0.818907505273819,-1.330946433544159,-0.036480121314525604,0.47698872089385985,2016,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
0pwObEOHolQZSldJ2q1wpy,Stinkfist,Ænima,TOOL,1996,0.9181947495954876,1.3592137208623294,"progressive metal,alternative metal,progressive rock,metal",RCA Records Label,0.286,0.728,-6.608,0.0616,0.000174,0.836,0.133,0.467,171.441,0.32882730662822723,-0.3558335565030575,0.7117464616894722,1.729853332042694,0.6859820783138275,0.05628855526447296,-0.13241626881062984,-0.9534091278910637,0.48516483046114445,0.2941606752574444,-0.9074747711420059,0.11322098225355148,-0.31841669231653214,-1.1732486188411713,0.8952664416283369,0.9357177913188934,1996,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
2KGCOtaTbNIbwrxS0a2UMv,Choke,Cannibal,Bury Tomorrow,2020,-0.25029468794061555,0.5327966727066276,"metalcore,metal,deathcore,post-hardcore",Music For Nations,0.503,0.981,-5.701,0.0936,0.000682,9.06e-05,0.194,0.34,124.91,0.27367742359638214,-0.4770386964082718,0.375828729942441,1.9056044220924377,0.11735489219427109,-0.0717961760237813,-0.8152863085269928,-0.7711626812815666,0.12994219362735748,0.5608379505574703,-1.092125117778778,0.00741959223523736,-0.2343274587765336,-0.9559295102953911,1.117268905043602,0.4968518167734146,2020,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
4UGvNbuucQ1mCf3tiq7ZuQ,The Catalyst,The Catalyst,Amaranthe,2024,-0.34063597688191066,0.08780287754586497,"symphonic metal,power metal,melodic metal,metal",Nuclear Blast,0.473,0.963,-6.068,0.137,0.000106,5.38e-06,0.0773,0.242,149.995,0.038867462426424026,-0.2581258788704872,0.13467758148908615,1.6488651186227798,0.9191049039363861,0.13475145772099495,-1.1878848522901535,-0.5205487981438637,0.6343335695564747,0.9604462645947933,-0.9120182357728481,0.995323745533824,-1.1776665076613426,-0.6068238914012909,0.606990173459053,0.604980081319809,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
5dIfFSUtKg2QOHf32iHyUh,Chasing Sunsets,Chasing Sunsets,Charlotte Wessels,2024,0.15005231313679307,-1.374319592268069,"symphonic metal,hardstyle,melodic metal,symphonic rock",Napalm Records Handels GmbH,0.421,0.916,-6.617,0.0663,0.00142,0.000562,0.118,0.242,149.975,-0.1863122247159481,-0.8210998177528381,-0.23843974620103836,1.672710344195366,0.9738724008202553,0.24676628410816193,-0.31946708261966705,-1.1039244830608368,0.19254158064723015,0.46100323647260666,-1.2083691619336605,0.3428729008883238,-0.5434053540229797,-0.6295463293790817,0.11983528733253479,0.07450751960277557,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
0C2awQ4olwwSjkpEMmiNdU,Raigeki 雷撃,Raigeki,Unto Others,2024,-0.4368555901074568,-1.5650312187655389,gothic metal,Century Media,0.51,0.937,-5.106,0.102,0.0055,0.42,0.0627,0.555,90.028,-0.9195488691329956,0.22728362679481506,1.0143718719482422,0.8952015042304993,0.015946324914693832,-0.11422880738973618,-1.6674776077270508,-1.6928913593292236,0.27872350811958313,1.544420838356018,-0.05749603733420372,0.49224188923835754,-1.0879616737365723,-0.9022973775863647,0.24798241257667542,0.34302130341529846,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
5ofoB8PFmocBXFBEWVb6Vz,Animals,For Those That Wish To Exist,Architects,2021,-0.01676238703295128,1.3592137208623294,"metalcore,djent,metal,post-hardcore,deathcore",Epitaph,0.532,0.759,-3.842,0.0319,0.000123,0.02,0.073,0.293,95.01,0.26949313282966614,-0.4028527081012726,0.17726864963769912,1.9507537841796876,0.3094072282314301,-0.05749564401921816,-0.9266887903213501,-0.5647800743579865,0.17404745817184447,0.6751691073179245,-0.9252009212970733,0.4056605625897646,-0.16188666895031928,-1.0507369697093965,0.9042347982525826,0.48710631728172304,2021,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
5Z4UhpREYJqrR5AZzeETzI,Midnight Messiah,Midnight Messiah,Dream Theater,2025,3.209720103089471,0.2149439618775114,"progressive metal,progressive rock,metal",InsideOutMusic,0.467,0.925,-7.279,0.0492,0.000452,0.00124,0.11,0.482,136.279,0.16653170188268027,-0.11398358643054962,0.6786055862903595,1.837541937828064,0.6871991753578186,0.17915301521619162,0.13801128913958868,-0.9086203475793203,0.7132832383116087,0.07853906850020091,-1.0297122597694397,0.3623903691768646,-0.6678220729033152,-1.2920743028322856,0.5845892801880836,0.6886318922042847,2025,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
7ftpyir5ygZkv92mbZMFqi,Fall In Line,Fall in Line,Mushroomhead,2024,0.536421045434985,-0.8021847127756602,"nu metal,industrial metal,rap metal,metal,alternative metal",Napalm Records Handels GmbH,0.478,0.94,-5.646,0.0387,3.9e-06,0.0057,0.0575,0.557,143.023,0.5270641326904297,-0.6876601964235306,0.4361451923847198,1.6549741268157958,0.7162829339504242,0.07130172848701477,-0.747880220413208,-0.5083056971430778,0.44084292352199556,0.5040175169706345,-1.0268320202827455,0.7528236627578735,0.046840721368789674,-0.8234347343444824,0.603688222169876,0.8812672913074493,2024,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
6C8l342LO3G0EOQWbdM7Yz,Nihilism,Nihilism,Vended,2024,-0.6838969977622614,-0.7386141706098369,"nu metal,metal",Independent,0.371,0.985,-3.146,0.168,0.000326,6.32e-06,0.0905,0.189,106.017,0.6210268437862396,-0.14726240187883377,0.576690748333931,1.6348422765731812,0.5338086783885956,0.32464002072811127,-1.1669223606586456,-0.20557982847094536,1.0585026741027832,0.41020717471838,-0.9528522938489914,1.2925684750080109,-0.8716578930616379,-0.8012958467006683,0.8275394439697266,1.169015347957611,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
1aR6W01r094onPc4O2avEp,Let It Go,High 'N' Dry,Def Leppard,1981,0.5189378602984918,0.659937757038274,"glam metal,glam rock,classic rock",UMC (Universal Music Catalogue),0.409,0.915,-7.205,0.0667,0.00444,0.0022,0.342,0.409,138.143,-0.49140942096710205,-0.32707486550013226,0.01847323775291443,1.3540568351745605,0.9690846800804138,0.9221602380275726,-0.7729438443978628,-0.6626830895741781,0.07386809587478638,0.3079075813293457,-1.273906151453654,0.11995565891265869,-0.3119696055849393,-0.9522438247998556,-0.22296916445096335,0.1663217176683247,1981,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
2w5EUUiQUnbgWe3kwZAh4n,Dreadbringer,Dreadbringer,"Aborted,Shadow of Intent",2024,1.1779035321163545,-0.8657552549414834,"death metal,grindcore,deathcore,metal,metalcore,djent",Nuclear Blast,0.49,0.971,-4.186,0.113,4.27e-05,0.505,0.0542,0.12,132.461,0.4734088331460953,-0.4854536106189092,0.09493213891983032,1.9661920468012493,0.5539376636346182,-0.00786299140600022,-0.924295594294866,-0.6885487859447798,0.04184074761966864,0.470852163930734,-0.7472578237454096,0.3227926582718889,-0.02522441806892554,-0.9340259581804276,0.5346027972797552,0.4891195793946584,2024,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
